Date,Confirmed,Deceased,Recovered
2020-01-30,1,0,0
2020-02-02,2,0,0
2020-02-03,3,0,0
2020-02-14,3,0,3
2020-03-02,5,0,3
2020-03-03,6,0,3
2020-03-04,28,0,3
2020-03-05,30,0,3
2020-03-06,31,0,3
2020-03-07,34,0,3
2020-03-08,39,0,3
2020-03-09,48,0,3
2020-03-10,63,0,3
2020-03-11,71,0,3
2020-03-12,81,0,3
2020-03-13,91,1,3
2020-03-14,102,1,3
2020-03-15,112,1,3
2020-03-16,126,1,3
2020-03-17,146,1,3
2020-03-18,171,1,3
2020-03-19,198,1,3
2020-03-20,256,1,4
2020-03-21,334,1,4
2020-03-22,403,1,4
2020-03-23,497,1,4
2020-03-24,571,1,6
2020-03-25,657,1,6
2020-03-26,730,2,6
2020-03-27,883,3,8
2020-03-28,1019,3,8
2020-03-29,1139,28,99
2020-03-30,1326,41,141
2020-03-31,1635,47,160
2020-04-01,2059,58,169
2020-04-02,2545,69,191
2020-04-03,3105,83,230
2020-04-04,3684,96,286
2020-04-05,4293,118,329
2020-04-06,4777,134,394
2020-04-07,5350,161,469
2020-04-08,5915,181,565
2020-04-09,6728,227,635
2020-04-10,7599,249,786
2020-04-11,8453,290,972
2020-04-12,9211,332,1086
2020-04-13,10454,359,1198
2020-04-14,11485,396,1365
2020-04-15,12371,423,1509
2020-04-16,13432,449,1767
2020-04-17,14354,487,2040
2020-04-18,15725,522,2466
2020-04-19,17305,560,2854
2020-04-20,18544,593,3273
2020-04-21,20081,646,3976
2020-04-22,21373,682,4370
2020-04-23,23040,722,5012
2020-04-24,24448,781,5496
2020-04-25,26283,825,5938
2020-04-26,27890,881,6523
2020-04-27,29458,939,7103
2020-04-28,31360,1008,7739
2020-04-29,33065,1079,8429
2020-04-30,34867,1154,9059
2020-05-01,37263,1231,10021
2020-05-02,39827,1323,10852
2020-05-03,42779,1463,11763
2020-05-04,46435,1566,12845
2020-05-05,49406,1694,14140
2020-05-06,53008,1785,15301
2020-05-07,56352,1889,16776
2020-05-08,59691,1986,17887
2020-05-09,62866,2102,19301
2020-05-10,67177,2214,20970
2020-05-11,70769,2295,22549
2020-05-12,74331,2415,24454
2020-05-13,78057,2552,26417
2020-05-14,82048,2649,28011
2020-05-15,85856,2753,30245
2020-05-16,90650,2873,34257
2020-05-17,95699,3025,36795
2020-05-18,100327,3156,39277
2020-05-19,106481,3302,42309
2020-05-20,112201,3436,45422
2020-05-21,118224,3584,48553
2020-05-22,124760,3726,51833
2020-05-23,131425,3868,54409
2020-05-24,138536,4024,57694
2020-05-25,144950,4173,60706
2020-05-26,150857,4346,64291
2020-05-27,158103,4534,67725
2020-05-28,165357,4710,70896
2020-05-29,173495,4978,82631
2020-05-30,181859,5183,86934
2020-05-31,190648,5405,91862
2020-06-01,198372,5606,95744
2020-06-02,207184,5828,100275
2020-06-03,216872,6087,104064
2020-06-04,226719,6361,108454
2020-06-05,236191,6647,113225
2020-06-06,246599,6944,118658
2020-06-07,257481,7205,123849
2020-06-08,266017,7476,129020
2020-06-09,275998,7748,134654
2020-06-10,287154,8106,140929
2020-06-11,298289,8500,146973
2020-06-12,309595,8888,154236
2020-06-13,321634,9197,162327
2020-06-14,333038,9521,169685
2020-06-15,343070,9917,180325
2020-06-16,354155,11921,187551
2020-06-17,367263,12262,194441
2020-06-18,381092,12605,205182
2020-06-19,395832,12969,214211
2020-06-20,411750,13277,228185
2020-06-21,426901,13703,237260
2020-06-22,440461,14015,248139
2020-06-23,456117,14483,258601
2020-06-24,472985,14907,271690
2020-06-25,491190,15308,285673
2020-06-26,509445,15689,295919
2020-06-27,529587,16103,310148
2020-06-28,549197,16487,321779
2020-06-29,567536,16904,335276
2020-06-30,585791,17410,347841
2020-07-01,605221,17848,359905
2020-07-02,627168,18226,379904
2020-07-03,649886,18670,394321
2020-07-04,673904,19281,409067
2020-07-05,697846,19702,424896
2020-07-06,720346,20175,440211
2020-07-07,743494,20654,457049
2020-07-08,769055,21146,476557
2020-07-09,794845,21625,495965
2020-07-10,822594,22145,516254
2020-07-11,850348,22686,536235
2020-07-12,879454,23183,554433
2020-07-13,907632,23724,572116
2020-07-14,937549,24306,593092
2020-07-15,970156,24920,613738
2020-07-16,1005624,25600,636605
2020-07-17,1040448,26276,654091
2020-07-18,1077859,26819,677673
2020-07-19,1118094,27494,700403
2020-07-20,1154900,28090,724706
2020-07-21,1194070,28761,752295
2020-07-22,1239671,29891,784170
2020-07-23,1288114,30646,817496
2020-07-24,1337002,31409,850010
2020-07-25,1387074,32112,887135
2020-07-26,1436006,32816,918647
2020-07-27,1482490,33458,953001
2020-07-28,1532121,34232,988684
2020-07-29,1584600,35007,1021570
2020-07-30,1639568,35791,1058995
2020-07-31,1697054,36556,1095549
2020-08-01,1752171,37410,1146917
2020-08-02,1804843,38170,1187272
2020-08-03,1855334,38976,1230342
2020-08-04,1906616,39825,1281562
2020-08-05,1963242,40744,1327145
2020-08-06,2025412,41643,1377286
2020-08-07,2086867,42579,1427673
2020-08-08,2152023,43454,1479808
2020-08-09,2214140,44467,1534282
2020-08-10,2267156,45354,1581644
2020-08-11,2328408,46189,1638105
2020-08-12,2395474,47139,1695864
2020-08-13,2459615,48145,1750640
2020-08-14,2525225,49134,1807560
2020-08-15,2589211,50086,1860676
2020-08-16,2647307,51038,1918080
2020-08-17,2701605,51918,1976252
2020-08-18,2766629,53017,2036707
2020-08-19,2835825,53996,2096072
2020-08-20,2904343,54977,2157945
2020-08-21,2973372,55930,2220803
2020-08-22,3043439,56848,2279904
2020-08-23,3105188,57694,2336800
2020-08-24,3164884,58548,2403105
2020-08-25,3231757,59614,2467256
2020-08-26,3307752,60631,2523447
2020-08-27,3384579,61697,2583067
2020-08-28,3461236,62716,2647542
